"SampleYear","Site","DepthZone","Species","SpeciesGroupF","Latitude","Longitude","Density_m2"
2016,"SCAI - Italian Gardens","Outer","Eugorgia rubens","gorgonians",33.41051,-118.3778,0
2016,"SCAI - Italian Gardens","Outer","Leptogorgia alba","gorgonians",33.41051,-118.3778,0
2016,"SCAI - Italian Gardens","Outer","Leptogorgia chilensis","gorgonians",33.41051,-118.3778,0
2016,"SCAI - Italian Gardens","Outer","Muricea californica","gorgonians",33.41051,-118.3778,0.00833333333333333
2016,"SCAI - Italian Gardens","Outer","Muricea fruticosa","gorgonians",33.41051,-118.3778,0
2016,"SCAI - Hen Rock","Inner","Eugorgia rubens","gorgonians",33.39959,-118.36712,0
2016,"SCAI - Hen Rock","Inner","Leptogorgia alba","gorgonians",33.39959,-118.36712,0
2016,"SCAI - Hen Rock","Inner","Leptogorgia chilensis","gorgonians",33.39959,-118.36712,0
2016,"SCAI - Hen Rock","Inner","Muricea californica","gorgonians",33.39959,-118.36712,0
2016,"SCAI - Hen Rock","Inner","Muricea fruticosa","gorgonians",33.39959,-118.36712,0
2016,"SCAI - Hen Rock","Middle","Eugorgia rubens","gorgonians",33.39954,-118.36645,0
2016,"SCAI - Hen Rock","Middle","Leptogorgia alba","gorgonians",33.39954,-118.36645,0
2016,"SCAI - Hen Rock","Middle","Leptogorgia chilensis","gorgonians",33.39954,-118.36645,0
2016,"SCAI - Hen Rock","Middle","Muricea californica","gorgonians",33.39954,-118.36645,0.133333333333333
2016,"SCAI - Hen Rock","Middle","Muricea fruticosa","gorgonians",33.39954,-118.36645,0.00833333333333333
2016,"SCAI - Hen Rock","Outer","Eugorgia rubens","gorgonians",33.39942,-118.36597,0
2016,"SCAI - Hen Rock","Outer","Leptogorgia alba","gorgonians",33.39942,-118.36597,0
2016,"SCAI - Hen Rock","Outer","Leptogorgia chilensis","gorgonians",33.39942,-118.36597,0
2016,"SCAI - Hen Rock","Outer","Muricea californica","gorgonians",33.39942,-118.36597,0.291666666666667
2016,"SCAI - Hen Rock","Outer","Muricea fruticosa","gorgonians",33.39942,-118.36597,0.0333333333333333
2016,"Flat Rock North","Inner","Eugorgia rubens","gorgonians",33.80023,-118.40684,0
2016,"Flat Rock North","Inner","Leptogorgia alba","gorgonians",33.80023,-118.40684,0
2016,"Flat Rock North","Inner","Leptogorgia chilensis","gorgonians",33.80023,-118.40684,0
2016,"Flat Rock North","Inner","Muricea californica","gorgonians",33.80023,-118.40684,0
2016,"Flat Rock North","Inner","Muricea fruticosa","gorgonians",33.80023,-118.40684,0
2016,"Flat Rock North","Middle","Eugorgia rubens","gorgonians",33.80118,-118.40722,0
2016,"Flat Rock North","Middle","Leptogorgia alba","gorgonians",33.80118,-118.40722,0
2016,"Flat Rock North","Middle","Leptogorgia chilensis","gorgonians",33.80118,-118.40722,0
2016,"Flat Rock North","Middle","Muricea californica","gorgonians",33.80118,-118.40722,0
2016,"Flat Rock North","Middle","Muricea fruticosa","gorgonians",33.80118,-118.40722,0
2016,"Flat Rock South","Inner","Eugorgia rubens","gorgonians",33.79615,-118.41076,0
2016,"Flat Rock South","Inner","Leptogorgia alba","gorgonians",33.79615,-118.41076,0
2016,"Flat Rock South","Inner","Leptogorgia chilensis","gorgonians",33.79615,-118.41076,0
2016,"Flat Rock South","Inner","Muricea californica","gorgonians",33.79615,-118.41076,0
2016,"Flat Rock South","Inner","Muricea fruticosa","gorgonians",33.79615,-118.41076,0
2016,"Flat Rock South","Middle","Eugorgia rubens","gorgonians",33.79626,-118.41255,0
2016,"Flat Rock South","Middle","Leptogorgia alba","gorgonians",33.79626,-118.41255,0
2016,"Flat Rock South","Middle","Leptogorgia chilensis","gorgonians",33.79626,-118.41255,0
2016,"Flat Rock South","Middle","Muricea californica","gorgonians",33.79626,-118.41255,0.025
2016,"Flat Rock South","Middle","Muricea fruticosa","gorgonians",33.79626,-118.41255,0
2016,"Flat Rock South","Outer","Eugorgia rubens","gorgonians",33.79483,-118.41682,0
2016,"Flat Rock South","Outer","Leptogorgia alba","gorgonians",33.79483,-118.41682,0
2016,"Flat Rock South","Outer","Leptogorgia chilensis","gorgonians",33.79483,-118.41682,0
2016,"Flat Rock South","Outer","Muricea californica","gorgonians",33.79483,-118.41682,0.0833333333333333
2016,"Flat Rock South","Outer","Muricea fruticosa","gorgonians",33.79483,-118.41682,0
2016,"Ridges North","Inner","Eugorgia rubens","gorgonians",33.78687,-118.42081,0
2016,"Ridges North","Inner","Leptogorgia alba","gorgonians",33.78687,-118.42081,0
2016,"Ridges North","Inner","Leptogorgia chilensis","gorgonians",33.78687,-118.42081,0
2016,"Ridges North","Inner","Muricea californica","gorgonians",33.78687,-118.42081,0
2016,"Ridges North","Inner","Muricea fruticosa","gorgonians",33.78687,-118.42081,0
2016,"Ridges North","Middle","Eugorgia rubens","gorgonians",33.78791,-118.422,0
2016,"Ridges North","Middle","Leptogorgia alba","gorgonians",33.78791,-118.422,0
2016,"Ridges North","Middle","Leptogorgia chilensis","gorgonians",33.78791,-118.422,0
2016,"Ridges North","Middle","Muricea californica","gorgonians",33.78791,-118.422,0
2016,"Ridges North","Middle","Muricea fruticosa","gorgonians",33.78791,-118.422,0
2016,"Ridges North","Outer","Eugorgia rubens","gorgonians",33.78903,-118.42458,0
2016,"Ridges North","Outer","Leptogorgia alba","gorgonians",33.78903,-118.42458,0
2016,"Ridges North","Outer","Leptogorgia chilensis","gorgonians",33.78903,-118.42458,0
2016,"Ridges North","Outer","Muricea californica","gorgonians",33.78903,-118.42458,0.0333333333333333
2016,"Ridges North","Outer","Muricea fruticosa","gorgonians",33.78903,-118.42458,0
2016,"Ridges North","Deep","Eugorgia rubens","gorgonians",33.79034,-118.42775,0
2016,"Ridges North","Deep","Leptogorgia alba","gorgonians",33.79034,-118.42775,0
2016,"Ridges North","Deep","Leptogorgia chilensis","gorgonians",33.79034,-118.42775,0.00833333333333333
2016,"Ridges North","Deep","Muricea californica","gorgonians",33.79034,-118.42775,0.0333333333333333
2016,"Ridges North","Deep","Muricea fruticosa","gorgonians",33.79034,-118.42775,0
2016,"Ridges South","Inner","Eugorgia rubens","gorgonians",33.78386,-118.42355,0
2016,"Ridges South","Inner","Leptogorgia alba","gorgonians",33.78386,-118.42355,0
2016,"Ridges South","Inner","Leptogorgia chilensis","gorgonians",33.78386,-118.42355,0
2016,"Ridges South","Inner","Muricea californica","gorgonians",33.78386,-118.42355,0
2016,"Ridges South","Inner","Muricea fruticosa","gorgonians",33.78386,-118.42355,0
2016,"Ridges South","Middle","Eugorgia rubens","gorgonians",33.78523,-118.42513,0
2016,"Ridges South","Middle","Leptogorgia alba","gorgonians",33.78523,-118.42513,0
2016,"Ridges South","Middle","Leptogorgia chilensis","gorgonians",33.78523,-118.42513,0
2016,"Ridges South","Middle","Muricea californica","gorgonians",33.78523,-118.42513,0
2016,"Ridges South","Middle","Muricea fruticosa","gorgonians",33.78523,-118.42513,0
2016,"Ridges South","Outer","Eugorgia rubens","gorgonians",33.78652,-118.42635,0
2016,"Ridges South","Outer","Leptogorgia alba","gorgonians",33.78652,-118.42635,0
2016,"Ridges South","Outer","Leptogorgia chilensis","gorgonians",33.78652,-118.42635,0
2016,"Ridges South","Outer","Muricea californica","gorgonians",33.78652,-118.42635,0.35
2016,"Ridges South","Outer","Muricea fruticosa","gorgonians",33.78652,-118.42635,0.0166666666666667
2016,"Ridges South","Deep","Eugorgia rubens","gorgonians",33.78701,-118.4301,0
2016,"Ridges South","Deep","Leptogorgia alba","gorgonians",33.78701,-118.4301,0
2016,"Ridges South","Deep","Leptogorgia chilensis","gorgonians",33.78701,-118.4301,0
2016,"Ridges South","Deep","Muricea californica","gorgonians",33.78701,-118.4301,0
2016,"Ridges South","Deep","Muricea fruticosa","gorgonians",33.78701,-118.4301,0
2016,"Rocky Point North","Inner","Eugorgia rubens","gorgonians",33.77958,-118.4278,0
2016,"Rocky Point North","Inner","Leptogorgia alba","gorgonians",33.77958,-118.4278,0
2016,"Rocky Point North","Inner","Leptogorgia chilensis","gorgonians",33.77958,-118.4278,0
2016,"Rocky Point North","Inner","Muricea californica","gorgonians",33.77958,-118.4278,0
2016,"Rocky Point North","Inner","Muricea fruticosa","gorgonians",33.77958,-118.4278,0
2016,"Rocky Point North","Middle","Eugorgia rubens","gorgonians",33.78014,-118.42891,0
2016,"Rocky Point North","Middle","Leptogorgia alba","gorgonians",33.78014,-118.42891,0
2016,"Rocky Point North","Middle","Leptogorgia chilensis","gorgonians",33.78014,-118.42891,0
2016,"Rocky Point North","Middle","Muricea californica","gorgonians",33.78014,-118.42891,0
2016,"Rocky Point North","Middle","Muricea fruticosa","gorgonians",33.78014,-118.42891,0
2016,"Rocky Point North","Outer","Eugorgia rubens","gorgonians",33.78084,-118.43033,0
2016,"Rocky Point North","Outer","Leptogorgia alba","gorgonians",33.78084,-118.43033,0
2016,"Rocky Point North","Outer","Leptogorgia chilensis","gorgonians",33.78084,-118.43033,0
2016,"Rocky Point North","Outer","Muricea californica","gorgonians",33.78084,-118.43033,0
2016,"Rocky Point North","Outer","Muricea fruticosa","gorgonians",33.78084,-118.43033,0
2016,"Rocky Point North","Deep","Eugorgia rubens","gorgonians",33.78149,-118.43324,0
2016,"Rocky Point North","Deep","Leptogorgia alba","gorgonians",33.78149,-118.43324,0
2016,"Rocky Point North","Deep","Leptogorgia chilensis","gorgonians",33.78149,-118.43324,0
2016,"Rocky Point North","Deep","Muricea californica","gorgonians",33.78149,-118.43324,0
2016,"Rocky Point North","Deep","Muricea fruticosa","gorgonians",33.78149,-118.43324,0
2016,"Rocky Point South","Inner","Eugorgia rubens","gorgonians",33.77511,-118.42804,0
2016,"Rocky Point South","Inner","Leptogorgia alba","gorgonians",33.77511,-118.42804,0
2016,"Rocky Point South","Inner","Leptogorgia chilensis","gorgonians",33.77511,-118.42804,0
2016,"Rocky Point South","Inner","Muricea californica","gorgonians",33.77511,-118.42804,0
2016,"Rocky Point South","Inner","Muricea fruticosa","gorgonians",33.77511,-118.42804,0
2016,"Rocky Point South","Middle","Eugorgia rubens","gorgonians",33.7767,-118.43029,0
2016,"Rocky Point South","Middle","Leptogorgia alba","gorgonians",33.7767,-118.43029,0
2016,"Rocky Point South","Middle","Leptogorgia chilensis","gorgonians",33.7767,-118.43029,0
2016,"Rocky Point South","Middle","Muricea californica","gorgonians",33.7767,-118.43029,0.00833333333333333
2016,"Rocky Point South","Middle","Muricea fruticosa","gorgonians",33.7767,-118.43029,0
2016,"Rocky Point South","Outer","Eugorgia rubens","gorgonians",33.77644,-118.4328,0
2016,"Rocky Point South","Outer","Leptogorgia alba","gorgonians",33.77644,-118.4328,0
2016,"Rocky Point South","Outer","Leptogorgia chilensis","gorgonians",33.77644,-118.4328,0
2016,"Rocky Point South","Outer","Muricea californica","gorgonians",33.77644,-118.4328,0.00833333333333333
2016,"Rocky Point South","Outer","Muricea fruticosa","gorgonians",33.77644,-118.4328,0
2016,"Rocky Point South","Deep","Eugorgia rubens","gorgonians",33.77727,-118.43464,0.00833333333333333
2016,"Rocky Point South","Deep","Leptogorgia alba","gorgonians",33.77727,-118.43464,0
2016,"Rocky Point South","Deep","Leptogorgia chilensis","gorgonians",33.77727,-118.43464,0.0166666666666667
2016,"Rocky Point South","Deep","Muricea californica","gorgonians",33.77727,-118.43464,0
2016,"Rocky Point South","Deep","Muricea fruticosa","gorgonians",33.77727,-118.43464,0
2016,"Lunada Bay","Inner","Eugorgia rubens","gorgonians",33.77152,-118.42761,0
2016,"Lunada Bay","Inner","Leptogorgia alba","gorgonians",33.77152,-118.42761,0
2016,"Lunada Bay","Inner","Leptogorgia chilensis","gorgonians",33.77152,-118.42761,0
2016,"Lunada Bay","Inner","Muricea californica","gorgonians",33.77152,-118.42761,0
2016,"Lunada Bay","Inner","Muricea fruticosa","gorgonians",33.77152,-118.42761,0
2016,"Lunada Bay","Middle","Eugorgia rubens","gorgonians",33.77181,-118.4311,0
2016,"Lunada Bay","Middle","Leptogorgia alba","gorgonians",33.77181,-118.4311,0
2016,"Lunada Bay","Middle","Leptogorgia chilensis","gorgonians",33.77181,-118.4311,0
2016,"Lunada Bay","Middle","Muricea californica","gorgonians",33.77181,-118.4311,0
2016,"Lunada Bay","Middle","Muricea fruticosa","gorgonians",33.77181,-118.4311,0
2016,"Lunada Bay","Outer","Eugorgia rubens","gorgonians",33.77089,-118.43263,0
2016,"Lunada Bay","Outer","Leptogorgia alba","gorgonians",33.77089,-118.43263,0
2016,"Lunada Bay","Outer","Leptogorgia chilensis","gorgonians",33.77089,-118.43263,0
2016,"Lunada Bay","Outer","Muricea californica","gorgonians",33.77089,-118.43263,0.00833333333333333
2016,"Lunada Bay","Outer","Muricea fruticosa","gorgonians",33.77089,-118.43263,0
2016,"Lunada Bay","Deep","Eugorgia rubens","gorgonians",33.77149,-118.43487,0
2016,"Lunada Bay","Deep","Leptogorgia alba","gorgonians",33.77149,-118.43487,0
2016,"Lunada Bay","Deep","Leptogorgia chilensis","gorgonians",33.77149,-118.43487,0.00833333333333333
2016,"Lunada Bay","Deep","Muricea californica","gorgonians",33.77149,-118.43487,0
2016,"Lunada Bay","Deep","Muricea fruticosa","gorgonians",33.77149,-118.43487,0
2016,"Resort Point","Inner","Eugorgia rubens","gorgonians",33.7667,-118.42607,0
2016,"Resort Point","Inner","Leptogorgia alba","gorgonians",33.7667,-118.42607,0
2016,"Resort Point","Inner","Leptogorgia chilensis","gorgonians",33.7667,-118.42607,0
2016,"Resort Point","Inner","Muricea californica","gorgonians",33.7667,-118.42607,0
2016,"Resort Point","Inner","Muricea fruticosa","gorgonians",33.7667,-118.42607,0
2016,"Resort Point","Middle","Eugorgia rubens","gorgonians",33.76669,-118.4271,0
2016,"Resort Point","Middle","Leptogorgia alba","gorgonians",33.76669,-118.4271,0
2016,"Resort Point","Middle","Leptogorgia chilensis","gorgonians",33.76669,-118.4271,0
2016,"Resort Point","Middle","Muricea californica","gorgonians",33.76669,-118.4271,0
2016,"Resort Point","Middle","Muricea fruticosa","gorgonians",33.76669,-118.4271,0
2016,"Resort Point","Outer","Eugorgia rubens","gorgonians",33.76667,-118.42843,0
2016,"Resort Point","Outer","Leptogorgia alba","gorgonians",33.76667,-118.42843,0
2016,"Resort Point","Outer","Leptogorgia chilensis","gorgonians",33.76667,-118.42843,0.0166666666666667
2016,"Resort Point","Outer","Muricea californica","gorgonians",33.76667,-118.42843,0.075
2016,"Resort Point","Outer","Muricea fruticosa","gorgonians",33.76667,-118.42843,0.00833333333333333
2016,"Resort Point","Deep","Eugorgia rubens","gorgonians",33.76599,-118.42944,0
2016,"Resort Point","Deep","Leptogorgia alba","gorgonians",33.76599,-118.42944,0
2016,"Resort Point","Deep","Leptogorgia chilensis","gorgonians",33.76599,-118.42944,0.00833333333333333
2016,"Resort Point","Deep","Muricea californica","gorgonians",33.76599,-118.42944,0
2016,"Resort Point","Deep","Muricea fruticosa","gorgonians",33.76599,-118.42944,0
2016,"Honeymoon Cove","Inner","Eugorgia rubens","gorgonians",33.76486,-118.4234,0
2016,"Honeymoon Cove","Inner","Leptogorgia alba","gorgonians",33.76486,-118.4234,0
2016,"Honeymoon Cove","Inner","Leptogorgia chilensis","gorgonians",33.76486,-118.4234,0
2016,"Honeymoon Cove","Inner","Muricea californica","gorgonians",33.76486,-118.4234,0
2016,"Honeymoon Cove","Inner","Muricea fruticosa","gorgonians",33.76486,-118.4234,0
2016,"Honeymoon Cove","Middle","Eugorgia rubens","gorgonians",33.76423,-118.42428,0
2016,"Honeymoon Cove","Middle","Leptogorgia alba","gorgonians",33.76423,-118.42428,0
2016,"Honeymoon Cove","Middle","Leptogorgia chilensis","gorgonians",33.76423,-118.42428,0
2016,"Honeymoon Cove","Middle","Muricea californica","gorgonians",33.76423,-118.42428,0
2016,"Honeymoon Cove","Middle","Muricea fruticosa","gorgonians",33.76423,-118.42428,0
2016,"Honeymoon Cove","Outer","Eugorgia rubens","gorgonians",33.76394,-118.42582,0.00833333333333333
2016,"Honeymoon Cove","Outer","Leptogorgia alba","gorgonians",33.76394,-118.42582,0
2016,"Honeymoon Cove","Outer","Leptogorgia chilensis","gorgonians",33.76394,-118.42582,0.00416666666666667
2016,"Honeymoon Cove","Outer","Muricea californica","gorgonians",33.76394,-118.42582,0.120833333333333
2016,"Honeymoon Cove","Outer","Muricea fruticosa","gorgonians",33.76394,-118.42582,0.00416666666666667
2016,"Honeymoon Cove","Deep","Eugorgia rubens","gorgonians",33.76396,-118.42692,0.00833333333333333
2016,"Honeymoon Cove","Deep","Leptogorgia alba","gorgonians",33.76396,-118.42692,0
2016,"Honeymoon Cove","Deep","Leptogorgia chilensis","gorgonians",33.76396,-118.42692,0.0458333333333333
2016,"Honeymoon Cove","Deep","Muricea californica","gorgonians",33.76396,-118.42692,0.0375
2016,"Honeymoon Cove","Deep","Muricea fruticosa","gorgonians",33.76396,-118.42692,0.025
2016,"Christmas Tree Cove","Inner","Eugorgia rubens","gorgonians",33.76144,-118.42004,0
2016,"Christmas Tree Cove","Inner","Leptogorgia alba","gorgonians",33.76144,-118.42004,0
2016,"Christmas Tree Cove","Inner","Leptogorgia chilensis","gorgonians",33.76144,-118.42004,0
2016,"Christmas Tree Cove","Inner","Muricea californica","gorgonians",33.76144,-118.42004,0
2016,"Christmas Tree Cove","Inner","Muricea fruticosa","gorgonians",33.76144,-118.42004,0
2016,"Christmas Tree Cove","Middle","Eugorgia rubens","gorgonians",33.76097,-118.4214,0
2016,"Christmas Tree Cove","Middle","Leptogorgia alba","gorgonians",33.76097,-118.4214,0
2016,"Christmas Tree Cove","Middle","Leptogorgia chilensis","gorgonians",33.76097,-118.4214,0
2016,"Christmas Tree Cove","Middle","Muricea californica","gorgonians",33.76097,-118.4214,0.0166666666666667
2016,"Christmas Tree Cove","Middle","Muricea fruticosa","gorgonians",33.76097,-118.4214,0
2016,"Christmas Tree Cove","Outer","Eugorgia rubens","gorgonians",33.76063,-118.42215,0.05
2016,"Christmas Tree Cove","Outer","Leptogorgia alba","gorgonians",33.76063,-118.42215,0
2016,"Christmas Tree Cove","Outer","Leptogorgia chilensis","gorgonians",33.76063,-118.42215,0.00833333333333333
2016,"Christmas Tree Cove","Outer","Muricea californica","gorgonians",33.76063,-118.42215,0.183333333333333
2016,"Christmas Tree Cove","Outer","Muricea fruticosa","gorgonians",33.76063,-118.42215,0.0166666666666667
2016,"Marguerite West","Inner","Eugorgia rubens","gorgonians",33.75835,-118.41874,0
2016,"Marguerite West","Inner","Leptogorgia alba","gorgonians",33.75835,-118.41874,0
2016,"Marguerite West","Inner","Leptogorgia chilensis","gorgonians",33.75835,-118.41874,0
2016,"Marguerite West","Inner","Muricea californica","gorgonians",33.75835,-118.41874,0
2016,"Marguerite West","Inner","Muricea fruticosa","gorgonians",33.75835,-118.41874,0
2016,"Marguerite West","Middle","Eugorgia rubens","gorgonians",33.75814,-118.41848,0
2016,"Marguerite West","Middle","Leptogorgia alba","gorgonians",33.75814,-118.41848,0
2016,"Marguerite West","Middle","Leptogorgia chilensis","gorgonians",33.75814,-118.41848,0
2016,"Marguerite West","Middle","Muricea californica","gorgonians",33.75814,-118.41848,0.0416666666666667
2016,"Marguerite West","Middle","Muricea fruticosa","gorgonians",33.75814,-118.41848,0
2016,"Marguerite West","Outer","Eugorgia rubens","gorgonians",33.75764,-118.41964,0
2016,"Marguerite West","Outer","Leptogorgia alba","gorgonians",33.75764,-118.41964,0
2016,"Marguerite West","Outer","Leptogorgia chilensis","gorgonians",33.75764,-118.41964,0
2016,"Marguerite West","Outer","Muricea californica","gorgonians",33.75764,-118.41964,0.0916666666666667
2016,"Marguerite West","Outer","Muricea fruticosa","gorgonians",33.75764,-118.41964,0
2016,"Marguerite Central","Inner","Eugorgia rubens","gorgonians",33.75662,-118.41769,0
2016,"Marguerite Central","Inner","Leptogorgia alba","gorgonians",33.75662,-118.41769,0
2016,"Marguerite Central","Inner","Leptogorgia chilensis","gorgonians",33.75662,-118.41769,0
2016,"Marguerite Central","Inner","Muricea californica","gorgonians",33.75662,-118.41769,0
2016,"Marguerite Central","Inner","Muricea fruticosa","gorgonians",33.75662,-118.41769,0
2016,"Marguerite Central","Middle","Eugorgia rubens","gorgonians",33.75682,-118.41829,0
2016,"Marguerite Central","Middle","Leptogorgia alba","gorgonians",33.75682,-118.41829,0
2016,"Marguerite Central","Middle","Leptogorgia chilensis","gorgonians",33.75682,-118.41829,0
2016,"Marguerite Central","Middle","Muricea californica","gorgonians",33.75682,-118.41829,0.0625
2016,"Marguerite Central","Middle","Muricea fruticosa","gorgonians",33.75682,-118.41829,0
2016,"Marguerite East","Inner","Eugorgia rubens","gorgonians",33.75562,-118.41683,0
2016,"Marguerite East","Inner","Leptogorgia alba","gorgonians",33.75562,-118.41683,0
2016,"Marguerite East","Inner","Leptogorgia chilensis","gorgonians",33.75562,-118.41683,0
2016,"Marguerite East","Inner","Muricea californica","gorgonians",33.75562,-118.41683,0
2016,"Marguerite East","Inner","Muricea fruticosa","gorgonians",33.75562,-118.41683,0
2016,"Marguerite East","Middle","Eugorgia rubens","gorgonians",33.75549,-118.41733,0
2016,"Marguerite East","Middle","Leptogorgia alba","gorgonians",33.75549,-118.41733,0
2016,"Marguerite East","Middle","Leptogorgia chilensis","gorgonians",33.75549,-118.41733,0
2016,"Marguerite East","Middle","Muricea californica","gorgonians",33.75549,-118.41733,0.00833333333333333
2016,"Marguerite East","Middle","Muricea fruticosa","gorgonians",33.75549,-118.41733,0
2016,"Golden Cove","Inner","Eugorgia rubens","gorgonians",33.75289,-118.41499,0
2016,"Golden Cove","Inner","Leptogorgia alba","gorgonians",33.75289,-118.41499,0
2016,"Golden Cove","Inner","Leptogorgia chilensis","gorgonians",33.75289,-118.41499,0
2016,"Golden Cove","Inner","Muricea californica","gorgonians",33.75289,-118.41499,0
2016,"Golden Cove","Inner","Muricea fruticosa","gorgonians",33.75289,-118.41499,0
2016,"Underwater Arch","Inner","Eugorgia rubens","gorgonians",33.75186,-118.41573,0
2016,"Underwater Arch","Inner","Leptogorgia alba","gorgonians",33.75186,-118.41573,0
